id,section,category,english,hiragana,romaji,kanji,notes,politeness,tags,created_at
jp-020,Personal,Conversation Flow,And then?,それで？,Sore de?,それで？,Casual follow-up. Use with friendly people.,Casual,flow,2026-06-23
jp-021,Personal,Conversation Flow,What about you?,あなたはどうですか？,Anata wa dou desu ka?,あなたはどうですか？,Polite but a bit direct. Often okay with learners.,Polite,flow,2026-06-23
jp-022,Personal,Conversation Flow,How about you?,そちらはどうですか？,Sochira wa dou desu ka?,そちらはどうですか？,Softer than anata in some situations.,Polite,flow,2026-06-23
jp-023,Personal,Conversation Flow,I think so too.,わたしもそうおもいます。,Watashi mo sou omoimasu.,私もそう思います。,Good agreement phrase.,Polite,flow,2026-06-23
jp-024,Personal,Conversation Flow,I am not sure.,ちょっとわからないです。,Chotto wakaranai desu.,ちょっと分からないです。,Soft uncertainty.,Polite,flow,2026-06-23
jp-025,Personal,Conversation Flow,Maybe.,たぶん。,Tabun.,多分。,Short and common.,Neutral,flow,2026-06-23
jp-026,Personal,Intro,I am from Australia.,オーストラリアからきました。,Oosutoraria kara kimashita.,オーストラリアから来ました。,Standard travel intro.,Polite,intro,2026-06-23
jp-027,Personal,Intro,I am from Brisbane.,ブリスベンしゅっしんです。,Burisuben shusshin desu.,ブリスベン出身です。,Your city intro.,Polite,intro,2026-06-23
jp-028,Personal,Intro,My name is Riki.,リキです。,Riki desu.,リキです。,Simplest self-introduction.,Polite,intro,2026-06-23
jp-029,Personal,Intro,Nice to meet you.,はじめまして。,Hajimemashite.,初めまして。,Use when meeting someone first time.,Polite,intro,2026-06-23
jp-030,Personal,Intro,Please treat me well / nice to meet you.,よろしくおねがいします。,Yoroshiku onegaishimasu.,よろしくお願いします。,Used after introductions. No perfect English equivalent.,Polite,intro,2026-06-23
jp-031,Personal,Intro,I am travelling in Japan for a few days.,すうじつかん、にほんをりょこうしています。,"Suu-jitsu-kan, nihon o ryokou shiteimasu.",数日間、日本を旅行しています。,Useful current trip line.,Polite,travel,2026-06-23
jp-032,Personal,Intro,I have been to Japan before.,まえににほんにきたことがあります。,Mae ni nihon ni kita koto ga arimasu.,前に日本に来たことがあります。,Good response to 'first time?',Polite,travel,2026-06-23
jp-033,Personal,Intro,This is not my first time in Japan.,にほんははじめてじゃないです。,Nihon wa hajimete janai desu.,日本は初めてじゃないです。,Natural answer.,Polite,travel,2026-06-23
jp-034,Personal,Intro,I want to speak more Japanese this time.,こんかいはもっとにほんごをはなしたいです。,Konkai wa motto nihongo o hanashitai desu.,今回はもっと日本語を話したいです。,Good intention-setting phrase.,Polite,learning,2026-06-23
jp-035,Personal,Intro,I like Japanese food and culture.,にほんのたべものとぶんかがすきです。,Nihon no tabemono to bunka ga suki desu.,日本の食べ物と文化が好きです。,Simple and useful.,Polite,small talk,2026-06-23
jp-036,Personal,Intro,I do Muay Thai.,ムエタイをやっています。,Muetai o yatteimasu.,ムエタイをやっています。,Good personal interest line.,Polite,martial arts,2026-06-23
jp-037,Personal,Intro,I like combat sports.,かくとうぎがすきです。,Kakutougi ga suki desu.,格闘技が好きです。,Broad term for combat sports.,Polite,martial arts,2026-06-23
jp-038,Personal,Intro,I train Muay Thai in Australia.,オーストラリアでムエタイをれんしゅうしています。,Oosutoraria de Muetai o renshuu shiteimasu.,オーストラリアでムエタイを練習しています。,Better than 'play' martial arts.,Polite,martial arts,2026-06-23
jp-039,Personal,Recommendations,Do you have any recommendations?,おすすめはありますか？,Osusume wa arimasu ka?,おすすめはありますか？,Broad recommendation request.,Polite,recommendations,2026-06-23
jp-040,Personal,Recommendations,What food do you recommend?,おすすめのたべものはなんですか？,Osusume no tabemono wa nan desu ka?,おすすめの食べ物は何ですか？,Useful for locals.,Polite,food,2026-06-23
jp-041,Personal,Recommendations,Is there a good restaurant nearby?,このちかくにいいレストランはありますか？,Kono chikaku ni ii resutoran wa arimasu ka?,この近くにいいレストランはありますか？,Good in hotels/shops.,Polite,food; directions,2026-06-23
jp-042,Personal,Recommendations,Where do locals usually go?,じもとのひとはふつうどこにいきますか？,Jimoto no hito wa futsuu doko ni ikimasu ka?,地元の人は普通どこに行きますか？,Good for avoiding tourist traps.,Polite,recommendations,2026-06-23
jp-043,Personal,Recommendations,I want to go somewhere not too touristy.,あまりかんこうきゃくがいないところにいきたいです。,Amari kankoukyaku ga inai tokoro ni ikitai desu.,あまり観光客がいない所に行きたいです。,Useful travel preference.,Polite,travel,2026-06-23
jp-044,Personal,Recommendations,What is famous around here?,このへんでなにがゆうめいですか？,Kono hen de nani ga yuumei desu ka?,この辺で何が有名ですか？,Natural local question.,Polite,recommendations,2026-06-23
jp-045,Personal,Restaurant,This one please.,これおねがいします。,Kore onegaishimasu.,これお願いします。,Point at menu/item.,Polite,ordering,2026-06-23
jp-046,Personal,Restaurant,What do you recommend?,おすすめはなんですか？,Osusume wa nan desu ka?,おすすめは何ですか？,Restaurant staple.,Polite,ordering,2026-06-23
jp-047,Personal,Restaurant,I will have this.,これにします。,Kore ni shimasu.,これにします。,Natural decision phrase.,Polite,ordering,2026-06-23
jp-048,Personal,Restaurant,Can I get water?,おみずをもらえますか？,Omizu o moraemasu ka?,お水をもらえますか？,Polite request.,Polite,restaurant,2026-06-23
jp-049,Personal,Restaurant,Can I get the bill please?,おかいけいおねがいします。,Okaikei onegaishimasu.,お会計お願いします。,Use when ready to pay.,Polite,restaurant; payment,2026-06-23
jp-050,Personal,Restaurant,Can I pay by card?,カードではらえますか？,Kaado de haraemasu ka?,カードで払えますか？,Check card acceptance.,Polite,payment,2026-06-23
jp-051,Personal,Restaurant,I cannot eat this ingredient.,このしょくざいはたべられません。,Kono shokuzai wa taberaremasen.,この食材は食べられません。,General dietary line.,Polite,food,2026-06-23
jp-052,Personal,Restaurant,It was delicious.,おいしかったです。,Oishikatta desu.,美味しかったです。,Say after meal.,Polite,restaurant,2026-06-23
jp-053,Personal,Convenience Store,Card please.,カードでおねがいします。,Kaado de onegaishimasu.,カードでお願いします。,Payment phrase.,Polite,payment,2026-06-23
jp-054,Personal,Convenience Store,I do not need a bag.,ふくろはいりません。,Fukuro wa irimasen.,袋はいりません。,Common checkout phrase.,Polite,checkout,2026-06-23
jp-055,Personal,Convenience Store,Can you warm this up?,これをあたためてもらえますか？,Kore o atatamete moraemasu ka?,これを温めてもらえますか？,For konbini food.,Polite,checkout,2026-06-23
jp-056,Personal,Convenience Store,I need chopsticks.,おはしがほしいです。,Ohashi ga hoshii desu.,お箸が欲しいです。,Useful for takeaway food.,Polite,checkout,2026-06-23
jp-057,Personal,Convenience Store,Can I have a receipt?,レシートをもらえますか？,Reshiito o moraemasu ka?,レシートをもらえますか？,Receipt request.,Polite,checkout,2026-06-23
jp-058,Personal,Directions,Where is the station?,えきはどこですか？,Eki wa doko desu ka?,駅はどこですか？,Basic direction phrase.,Polite,directions,2026-06-23
jp-059,Personal,Directions,Where is the bathroom?,トイレはどこですか？,Toire wa doko desu ka?,トイレはどこですか？,Essential.,Polite,directions,2026-06-23
jp-060,Personal,Directions,Is it close from here?,ここからちかいですか？,Koko kara chikai desu ka?,ここから近いですか？,Ask distance.,Polite,directions,2026-06-23
jp-061,Personal,Directions,Can I walk there?,あるいていけますか？,Aruite ikemasu ka?,歩いて行けますか？,Useful in cities.,Polite,directions,2026-06-23
jp-062,Personal,Directions,Which train should I take?,どのでんしゃにのればいいですか？,Dono densha ni noreba ii desu ka?,どの電車に乗ればいいですか？,Train help.,Polite,train,2026-06-23
jp-063,Personal,Directions,Does this train go to Shinjuku?,このでんしゃはしんじゅくにいきますか？,Kono densha wa Shinjuku ni ikimasu ka?,この電車は新宿に行きますか？,Replace Shinjuku with place name.,Polite,train,2026-06-23
jp-064,Personal,Directions,I am lost.,まいごになりました。,Maigo ni narimashita.,迷子になりました。,Use if genuinely lost.,Polite,directions; emergency,2026-06-23
jp-065,Personal,Airport/Plane,Where is the boarding gate?,とうじょうぐちはどこですか？,Toujouguchi wa doko desu ka?,搭乗口はどこですか？,Airport phrase.,Polite,airport,2026-06-23
jp-066,Personal,Airport/Plane,What time does boarding start?,なんじにとうじょうがはじまりますか？,Nanji ni toujou ga hajimarimasu ka?,何時に搭乗が始まりますか？,Airport phrase.,Polite,airport,2026-06-23
jp-067,Personal,Airport/Plane,Is this the line for this flight?,これはこのびんのれつですか？,Kore wa kono bin no retsu desu ka?,これはこの便の列ですか？,Useful at gate/check-in.,Polite,airport,2026-06-23
jp-068,Personal,Airport/Plane,Can I have water please?,おみずをください。,Omizu o kudasai.,お水をください。,Plane/restaurant.,Polite,plane,2026-06-23
jp-069,Personal,Airport/Plane,Can I change seats?,せきをかえられますか？,Seki o kaeraremasu ka?,席を変えられますか？,If needed on plane/train.,Polite,plane,2026-06-23
jp-070,Personal,Hotel,I have a reservation.,よやくしています。,Yoyaku shiteimasu.,予約しています。,At hotel/restaurant.,Polite,hotel,2026-06-23
jp-071,Personal,Hotel,Can I check in?,チェックインできますか？,Chekku-in dekimasu ka?,チェックインできますか？,Simple hotel phrase.,Polite,hotel,2026-06-23
jp-072,Personal,Hotel,Can I leave my luggage here?,にもつをここにおけますか？,Nimotsu o koko ni okemasu ka?,荷物をここに置けますか？,Useful before/after check-in.,Polite,hotel,2026-06-23
jp-073,Personal,Hotel,What time is checkout?,チェックアウトはなんじですか？,Chekku-auto wa nanji desu ka?,チェックアウトは何時ですか？,Hotel phrase.,Polite,hotel,2026-06-23
jp-074,Personal,Hotel,The Wi-Fi is not working.,ワイファイがつかえません。,Waifai ga tsukaemasen.,Wi-Fiが使えません。,Hotel/cafe.,Polite,hotel; tech,2026-06-23
jp-075,Personal,Shopping,How much is this?,これはいくらですか？,Kore wa ikura desu ka?,これはいくらですか？,Shopping staple.,Polite,shopping,2026-06-23
jp-076,Personal,Shopping,Can I try this on?,これをしちゃくできますか？,Kore o shichaku dekimasu ka?,これを試着できますか？,Clothes shopping.,Polite,shopping,2026-06-23
jp-077,Personal,Shopping,Do you have a bigger size?,もっとおおきいサイズはありますか？,Motto ookii saizu wa arimasu ka?,もっと大きいサイズはありますか？,Clothes/shoes.,Polite,shopping,2026-06-23
jp-078,Personal,Shopping,I am just looking.,みているだけです。,Mite iru dake desu.,見ているだけです。,When staff approach you.,Polite,shopping,2026-06-23
jp-079,Personal,Emergency,Please help me.,たすけてください。,Tasukete kudasai.,助けてください。,Emergency phrase.,Polite,emergency,2026-06-23
jp-080,Personal,Emergency,I need a hospital.,びょういんがひつようです。,Byouin ga hitsuyou desu.,病院が必要です。,Medical emergency.,Polite,emergency,2026-06-23
jp-081,Personal,Emergency,Please call an ambulance.,きゅうきゅうしゃをよんでください。,Kyuukyuusha o yonde kudasai.,救急車を呼んでください。,Emergency only.,Polite,emergency,2026-06-23
jp-082,Personal,Emergency,I lost my phone.,けいたいをなくしました。,Keitai o nakushimashita.,携帯をなくしました。,Lost item report.,Polite,emergency; lost,2026-06-23
jp-083,Personal,Emergency,I lost my wallet.,さいふをなくしました。,Saifu o nakushimashita.,財布をなくしました。,Lost item report.,Polite,emergency; lost,2026-06-23
jp-084,Personal,Emergency,Where is the police box?,こうばんはどこですか？,Kouban wa doko desu ka?,交番はどこですか？,Kouban = small police box.,Polite,emergency,2026-06-23
jp-085,Personal,Family/Friends,Can I visit you?,あいにいってもいいですか？,Ai ni itte mo ii desu ka?,会いに行ってもいいですか？,Warm and polite.,Polite,family; friends,2026-06-23
jp-086,Personal,Family/Friends,Are you well?,おげんきですか？,Ogenki desu ka?,お元気ですか？,Polite check-in.,Polite,family; friends,2026-06-23
jp-087,Personal,Family/Friends,I am going to Japan for a business meeting.,しごとのミーティングでにほんにいきます。,Shigoto no miitingu de nihon ni ikimasu.,仕事のミーティングで日本に行きます。,Useful exact trip reason.,Polite,business; travel,2026-06-23
jp-088,Personal,Family/Friends,I would like to see you if you have time.,じかんがあれば、あいたいです。,"Jikan ga areba, aitai desu.",時間があれば、会いたいです。,Polite and not pushy.,Polite,family; friends,2026-06-23
jp-089,Business,Work Intro,I work online.,オンラインでしごとをしています。,Onrain de shigoto o shiteimasu.,オンラインで仕事をしています。,Simple work explanation.,Polite,work,2026-06-23
jp-090,Business,Work Intro,I work in marketing and technology.,マーケティングとテクノロジーのしごとをしています。,Maaketingu to tekunorojii no shigoto o shiteimasu.,マーケティングとテクノロジーの仕事をしています。,"Broad, clear business line.",Polite,work; tech,2026-06-23
jp-091,Business,Work Intro,I help build online products.,オンラインのプロダクトをつくるしごとをしています。,Onrain no purodakuto o tsukuru shigoto o shiteimasu.,オンラインのプロダクトを作る仕事をしています。,Good for explaining startup/product work.,Polite,work; product,2026-06-23
jp-092,Business,Work Intro,I am working on a startup project.,スタートアップのプロジェクトをやっています。,Sutaatoappu no purojekuto o yatteimasu.,スタートアップのプロジェクトをやっています。,Simple startup explanation.,Polite,startup,2026-06-23
jp-093,Business,Work Intro,I am responsible for growth and partnerships.,グロースとパートナーシップをたんとうしています。,Guroosu to paatonaashippu o tantou shiteimasu.,グロースとパートナーシップを担当しています。,Matches your Noise role.,Polite,work; growth; partnerships,2026-06-23
jp-094,Business,Work Intro,My role is to bring customers and partners to the product.,わたしのやくわりは、プロダクトにこきゃくとパートナーをつなげることです。,"Watashi no yakuwari wa, purodakuto ni kokyaku to paatonaa o tsunageru koto desu.",私の役割は、プロダクトに顧客とパートナーをつなげることです。,Clear and professional.,Polite,work; sales; partnerships,2026-06-23
jp-095,Business,Work Intro,"I also help with sales, customer feedback, and launch strategy.",セールス、こきゃくのフィードバック、ローンチせんりゃくもてつだっています。,"Seerusu, kokyaku no fiidobakku, roonchi senryaku mo tetsudatteimasu.",セールス、顧客のフィードバック、ローンチ戦略も手伝っています。,Good expansion sentence.,Polite,sales; strategy,2026-06-23
jp-096,Business,Work Intro,I am learning coding and building websites.,コーディングをべんきょうして、ウェブサイトをつくっています。,"Koodingu o benkyou shite, webusaito o tsukutteimasu.",コーディングを勉強して、ウェブサイトを作っています。,Use for your current building work.,Polite,coding; websites,2026-06-23
jp-097,Business,Work Intro,I am building landing pages and product demos.,ランディングページとプロダクトデモをつくっています。,Randingu peeji to purodakuto demo o tsukutteimasu.,ランディングページとプロダクトデモを作っています。,Current practical work.,Polite,landing page; product,2026-06-23
jp-098,Business,Work Intro,I am trying to improve my Japanese for business conversations.,ビジネスのかいわのために、にほんごをもっとよくしたいです。,"Bijinesu no kaiwa no tame ni, nihongo o motto yoku shitai desu.",ビジネスの会話のために、日本語をもっと良くしたいです。,Sets context for practice.,Polite,business; learning,2026-06-23
jp-099,Business,Combat Reviews,Combat Reviews is a combat sports platform.,コンバットレビューズは、かくとうぎのプラットフォームです。,"Konbatto Rebyuuzu wa, kakutougi no purattofoomu desu.",Combat Reviewsは、格闘技のプラットフォームです。,Simple product definition.,Polite,combat reviews,2026-06-23
jp-100,Business,Combat Reviews,It is a dashboard for fight fans.,ファイトファンのためのダッシュボードです。,Faito fan no tame no dasshuboodo desu.,ファイトファンのためのダッシュボードです。,Core positioning.,Polite,combat reviews; positioning,2026-06-23
jp-101,Business,Combat Reviews,"Users can follow rankings, schedules, news, predictions, and discussions in one place.",ユーザーはランキング、スケジュール、ニュース、よそう、ディスカッションをひとつのばしょでみられます。,"Yuuzaa wa rankingu, sukejuuru, nyuusu, yosou, disukasshon o hitotsu no basho de miraremasu.",ユーザーはランキング、スケジュール、ニュース、予想、ディスカッションを一つの場所で見られます。,Full feature sentence.,Polite,combat reviews; features,2026-06-23
jp-102,Business,Combat Reviews,The goal is to make combat sports easier to follow.,もくひょうは、かくとうぎをもっとフォローしやすくすることです。,"Mokuhyou wa, kakutougi o motto foroo shiyasuku suru koto desu.",目標は、格闘技をもっとフォローしやすくすることです。,Simple mission.,Polite,combat reviews; mission,2026-06-23
jp-103,Business,Combat Reviews,"Combat sports information is scattered across social media, news sites, and promotion pages.",かくとうぎのじょうほうは、SNS、ニュースサイト、プロモーションのページにばらばらになっています。,"Kakutougi no jouhou wa, SNS, nyuusu saito, puromoushon no peeji ni barabara ni natteimasu.",格闘技の情報は、SNS、ニュースサイト、プロモーションのページにばらばらになっています。,Problem statement.,Polite,problem,2026-06-23
jp-104,Business,Combat Reviews,We want to put the fight week experience into one clean dashboard.,ファイトウィークのたいけんを、ひとつのきれいなダッシュボードにまとめたいです。,"Faito wiiku no taiken o, hitotsu no kirei na dasshuboodo ni matometai desu.",ファイトウィークの体験を、一つのきれいなダッシュボードにまとめたいです。,Clear product vision.,Polite,vision,2026-06-23
jp-105,Business,Combat Reviews,Fans can make predictions before fight night.,ファンはしあいのまえに、かちまけをよそうできます。,"Fan wa shiai no mae ni, kachimake o yosou dekimasu.",ファンは試合の前に、勝ち負けを予想できます。,Prediction feature.,Polite,predictions,2026-06-23
jp-106,Business,Combat Reviews,They can also see what the community thinks.,コミュニティがどうかんがえているかもみられます。,Komyuniti ga dou kangaeteiru ka mo miraremasu.,コミュニティがどう考えているかも見られます。,Community sentiment.,Polite,community,2026-06-23
jp-107,Business,Combat Reviews,We are building a waitlist before launch.,ローンチのまえにウェイトリストをつくっています。,Roonchi no mae ni weito risuto o tsukutteimasu.,ローンチの前にウェイトリストを作っています。,Useful during current phase.,Polite,launch,2026-06-23
jp-108,Business,Combat Reviews,The landing page is designed to collect early users.,ランディングページは、はやいだんかいのユーザーをあつめるためにつくっています。,"Randingu peeji wa, hayai dankai no yuuzaa o atsumeru tame ni tsukutteimasu.",ランディングページは、早い段階のユーザーを集めるために作っています。,Explain landing page goal.,Polite,landing page,2026-06-23
jp-109,Business,Combat Reviews,We want users to sign up with their contact details.,ユーザーにれんらくさきをとうろくしてもらいたいです。,Yuuzaa ni renrakusaki o touroku shite moraitai desu.,ユーザーに連絡先を登録してもらいたいです。,Waitlist conversion line.,Polite,waitlist,2026-06-23
jp-110,Business,Noise,Noise is an AI communication operating system.,ノイズは、AIコミュニケーション・オペレーティングシステムです。,"Noizu wa, AI komyunikeeshon opereetingu shisutemu desu.",Noiseは、AIコミュニケーション・オペレーティングシステムです。,High-level positioning.,Polite,noise; ai,2026-06-23
jp-111,Business,Noise,It helps companies turn communication into execution.,かいしゃがコミュニケーションをじっこうにつなげるのをたすけます。,Kaisha ga komyunikeeshon o jikkou ni tsunageru no o tasukemasu.,会社がコミュニケーションを実行につなげるのを助けます。,Core Noise brand line in Japanese.,Polite,noise; execution,2026-06-23
jp-112,Business,Noise,The problem is not just too many messages.,もんだいは、ただメッセージがおおすぎることではありません。,"Mondai wa, tada messeeji ga oosugiru koto dewa arimasen.",問題は、ただメッセージが多すぎることではありません。,Positioning contrast.,Polite,noise; problem,2026-06-23
jp-113,Business,Noise,The real problem is that communication does not turn into action.,ほんとうのもんだいは、コミュニケーションがこうどうにつながらないことです。,"Hontou no mondai wa, komyunikeeshon ga koudou ni tsunagaranai koto desu.",本当の問題は、コミュニケーションが行動につながらないことです。,Clear problem line.,Polite,noise; positioning,2026-06-23
jp-114,Business,Noise,"Noise connects email, Slack, Teams, WhatsApp, Telegram, and other channels.",ノイズは、メール、スラック、チームズ、ワッツアップ、テレグラムなどのチャンネルをつなげます。,"Noizu wa, meeru, Surakku, Chiimuzu, Wattsuappu, Tereguramu nado no channeru o tsunagemasu.",Noiseは、メール、Slack、Teams、WhatsApp、Telegramなどのチャンネルをつなげます。,Channel list.,Polite,noise; channels,2026-06-23
jp-115,Business,Noise,AI helps prioritize important conversations.,AIがたいせつなかいわをゆうせんしてくれます。,AI ga taisetsu na kaiwa o yuusen shite kuremasu.,AIが大切な会話を優先してくれます。,Feature explanation.,Polite,noise; ai,2026-06-23
jp-116,Business,Noise,It can summarize conversations and suggest next steps.,かいわをようやくして、つぎのステップをていあんできます。,"Kaiwa o youyaku shite, tsugi no suteppu o teian dekimasu.",会話を要約して、次のステップを提案できます。,Feature explanation.,Polite,noise; ai; summary,2026-06-23
jp-117,Business,Noise,"We are targeting companies first, not individual users.",さいしょはこじんユーザーではなく、かいしゃをターゲットにしています。,"Saisho wa kojin yuuzaa dewa naku, kaisha o taagetto ni shiteimasu.",最初は個人ユーザーではなく、会社をターゲットにしています。,Enterprise-first strategy.,Polite,noise; strategy,2026-06-23
jp-118,Business,Noise,We want design partners who can give real feedback.,ほんとうのフィードバックをくれるデザインパートナーをさがしています。,Hontou no fiidobakku o kureru dezain paatonaa o sagashiteimasu.,本当のフィードバックをくれるデザインパートナーを探しています。,Sales/partnership line.,Polite,noise; partnerships,2026-06-23
jp-119,Business,Noise,The long-term vision is an operating system for modern work.,ちょうきてきなビジョンは、げんだいのしごとのためのオペレーティングシステムです。,"Chouki-teki na bijon wa, gendai no shigoto no tame no opereetingu shisutemu desu.",長期的なビジョンは、現代の仕事のためのオペレーティングシステムです。,Big vision line.,Polite,noise; vision,2026-06-23
jp-120,Business,Coding / Tech,"I am building this with HTML, CSS, and JavaScript.",HTML、CSS、ジャバスクリプトでこれをつくっています。,"HTML, CSS, Jabasukuriputo de kore o tsukutteimasu.",HTML、CSS、JavaScriptでこれを作っています。,Coding explanation.,Polite,coding,2026-06-23
jp-121,Business,Coding / Tech,It is a static website.,これはスタティックなウェブサイトです。,Kore wa sutatikku na webusaito desu.,これはスタティックなウェブサイトです。,Tech term; static website is also understood as loanword.,Polite,coding; web,2026-06-23
jp-122,Business,Coding / Tech,The website works offline after it loads once.,このサイトはいちどよみこめば、オフラインでもつかえます。,"Kono saito wa ichido yomikomeba, ofurain demo tsukaemasu.",このサイトは一度読み込めば、オフラインでも使えます。,PWA/offline app explanation.,Polite,pwa; offline,2026-06-23
jp-123,Business,Coding / Tech,I want to make it work like an app on my phone.,スマホでアプリみたいにつかえるようにしたいです。,Sumaho de apuri mitai ni tsukaeru you ni shitai desu.,スマホでアプリみたいに使えるようにしたいです。,PWA goal.,Polite,pwa; mobile,2026-06-23
jp-124,Business,Coding / Tech,I am learning how to deploy websites with GitHub Pages.,ギットハブページズでウェブサイトをこうかいするほうほうをべんきょうしています。,GitHub Pages de webusaito o koukai suru houhou o benkyou shiteimasu.,GitHub Pagesでウェブサイトを公開する方法を勉強しています。,Explain deployment learning.,Polite,github; deployment,2026-06-23
jp-125,Business,Coding / Tech,I use AI tools to help me build faster.,AIツールをつかって、もっとはやくつくっています。,"AI tsuuru o tsukatte, motto hayaku tsukutteimasu.",AIツールを使って、もっと早く作っています。,AI workflow line.,Polite,ai; coding,2026-06-23
jp-126,Business,Coding / Tech,"I am not an expert yet, but I am improving quickly.",まだせんもんかではないですが、はやくじょうたつしています。,"Mada senmonka dewa nai desu ga, hayaku joutatsu shiteimasu.",まだ専門家ではないですが、早く上達しています。,Humble but confident.,Polite,learning,2026-06-23
jp-127,Business,Coding / Tech,The app saves data locally on the phone.,このアプリはスマホのなかにデータをほぞんします。,Kono apuri wa sumaho no naka ni deeta o hozon shimasu.,このアプリはスマホの中にデータを保存します。,LocalStorage/IndexedDB in simple words.,Polite,offline; storage,2026-06-23
jp-128,Business,Coding / Tech,Later I want to connect it to a database.,あとでデータベースにつなげたいです。,Ato de deetabeesu ni tsunagetai desu.,後でデータベースにつなげたいです。,Backend future line.,Polite,database; backend,2026-06-23
jp-129,Business,SaaS / Product,SaaS means software that people use online as a service.,SaaSは、インターネットでサービスとしてつかうソフトウェアのことです。,"SaaS wa, intaanetto de saabisu toshite tsukau sofutowea no koto desu.",SaaSは、インターネットでサービスとして使うソフトウェアのことです。,Simple SaaS explanation.,Polite,saas,2026-06-23
jp-130,Business,SaaS / Product,"The product is still early, so user feedback is very important.",プロダクトはまだはやいだんかいなので、ユーザーのフィードバックがとてもたいせつです。,"Purodakuto wa mada hayai dankai nanode, yuuzaa no fiidobakku ga totemo taisetsu desu.",プロダクトはまだ早い段階なので、ユーザーのフィードバックがとても大切です。,Startup/product line.,Polite,product; feedback,2026-06-23
jp-131,Business,SaaS / Product,We are testing the idea with real users first.,まずはほんとうのユーザーとアイデアをテストしています。,Mazu wa hontou no yuuzaa to aidea o tesuto shiteimasu.,まずは本当のユーザーとアイデアをテストしています。,Validation line.,Polite,product; testing,2026-06-23
